profile_index,profile_id,valid_time,latitude,longitude,region_name,sample_group,frequency_ghz,tb_base_k,tb_humid_k,tb_dry_k,dTb_humid_k,dTb_dry_k,nedt_k,humid_ratio,dry_ratio,surface_temperature_k,min_temperature_k,max_temperature_k,mean_temperature_k,min_h2o_vmr,max_h2o_vmr
19,t02_loc03,2020-01-01T12:00:00.000000000,58.0,10.75,northern_sector_east,northern_sector_east_loc01,52.8,260.70323381660484,260.6990792025116,260.7073380389346,-0.004154614093238251,0.004104222329772256,0.5,0.008309228186476503,0.008208444659544512,278.2020263671875,194.63734436035156,281.01446533203125,239.85897785908466,4.675460451780789e-06,0.007201643134888943
19,t02_loc03,2020-01-01T12:00:00.000000000,58.0,10.75,northern_sector_east,northern_sector_east_loc01,54.4,231.59411862732668,231.59316555806961,231.59506485381246,-0.0009530692570649535,0.0009462264857802438,0.7,0.0013615275100927909,0.0013517521225432055,278.2020263671875,194.63734436035156,281.01446533203125,239.85897785908466,4.675460451780789e-06,0.007201643134888943
20,t02_loc04,2020-01-01T12:00:00.000000000,57.0,10.0,southern_sector_west,southern_sector_west_loc00,50.3,270.7100604795007,270.70519766739096,270.7148629402607,-0.004862812109763581,0.00480246075994728,0.3,0.016209373699211937,0.0160082025331576,276.9735107421875,195.3726806640625,281.3420104980469,240.42622870367927,4.675694416676415e-06,0.007186172580791903
20,t02_loc04,2020-01-01T12:00:00.000000000,57.0,10.0,southern_sector_west,southern_sector_west_loc00,52.8,260.3955815625575,260.39197283616255,260.39915413476285,-0.0036087263949298176,0.003572572205371216,0.5,0.007217452789859635,0.007145144410742432,276.9735107421875,195.3726806640625,281.3420104980469,240.42622870367927,4.675694416676415e-06,0.007186172580791903
20,t02_loc04,2020-01-01T12:00:00.000000000,57.0,10.0,southern_sector_west,southern_sector_west_loc00,54.4,231.73859461151545,231.73763911459292,231.73954487486742,-0.0009554969225291643,0.0009502633519673509,0.7,0.001364995603613092,0.0013575190742390727,276.9735107421875,195.3726806640625,281.3420104980469,240.42622870367927,4.675694416676415e-06,0.007186172580791903
21,t02_loc05,2020-01-01T12:00:00.000000000,57.0,10.25,southern_sector_west,southern_sector_west_loc01,50.3,270.7308904791194,270.7261232164468,270.73560218895085,-0.004767262672601191,0.004711709831440203,0.3,0.015890875575337304,0.015705699438134012,276.9832763671875,195.3472900390625,281.6408386230469,240.47785454827385,4.675554037739032e-06,0.007142083127675054
21,t02_loc05,2020-01-01T12:00:00.000000000,57.0,10.25,southern_sector_west,southern_sector_west_loc01,52.8,260.41651656378895,260.4129197306324,260.4200795540541,-0.0035968331565641165,0.003562990265152166,0.5,0.007193666313128233,0.007125980530304332,276.9832763671875,195.3472900390625,281.6408386230469,240.47785454827385,4.675554037739032e-06,0.007142083127675054
21,t02_loc05,2020-01-01T12:00:00.000000000,57.0,10.25,southern_sector_west,southern_sector_west_loc01,54.4,231.7214442162593,231.72047050915788,231.7224127326432,-0.0009737071014228604,0.0009685163838923927,0.7,0.0013910101448898007,0.0013835948341319898,276.9832763671875,195.3472900390625,281.6408386230469,240.47785454827385,4.675554037739032e-06,0.007142083127675054
22,t02_loc06,2020-01-01T12:00:00.000000000,57.0,11.0,southern_sector_east,southern_sector_east_loc00,50.3,270.66829573937036,270.6635293695486,270.6730103771538,-0.004766369821766148,0.004714637783422404,0.3,0.01588789940588716,0.015715459278074682,276.9188232421875,194.9117431640625,281.6896667480469,240.5529970736117,4.672886837933395e-06,0.007082527513393184
22,t02_loc06,2020-01-01T12:00:00.000000000,57.0,11.0,southern_sector_east,southern_sector_east_loc00,52.8,260.3525920094559,260.34894628156104,260.3562053129781,-0.003645727894877382,0.003613303522172373,0.5,0.007291455789754764,0.007226607044344746,276.9188232421875,194.9117431640625,281.6896667480469,240.5529970736117,4.672886837933395e-06,0.007082527513393184
22,t02_loc06,2020-01-01T12:00:00.000000000,57.0,11.0,southern_sector_east,southern_sector_east_loc00,54.4,231.6807656773765,231.6797728478463,231.6817531374886,-0.0009928295302188417,0.000987460112099825,0.7,0.0014183279003126311,0.0014106573029997501,276.9188232421875,194.9117431640625,281.6896667480469,240.5529970736117,4.672886837933395e-06,0.007082527513393184
23,t02_loc07,2020-01-01T12:00:00.000000000,57.0,10.75,southern_sector_east,southern_sector_east_loc01,50.3,270.6860458343663,270.68135604781514,270.6906846143673,-0.004689786551182351,0.004638780000959741,0.3,0.015632621837274506,0.015462600003199139,276.9285888671875,195.1256103515625,281.8029479980469,240.5318030280036,4.674009869429427e-06,0.007095675777661465
23,t02_loc07,2020-01-01T12:00:00.000000000,57.0,10.75,southern_sector_east,southern_sector_east_loc01,52.8,260.37618613434955,260.37259337395426,260.37974707881426,-0.003592760395292771,0.003560944464709337,0.5,0.007185520790585542,0.007121888929418674,276.9285888671875,195.1256103515625,281.8029479980469,240.5318030280036,4.674009869429427e-06,0.007095675777661465
23,t02_loc07,2020-01-01T12:00:00.000000000,57.0,10.75,southern_sector_east,southern_sector_east_loc01,54.4,231.6863749562194,231.6853884249559,231.68735625961227,-0.0009865312634929069,0.000981303392876498,0.7,0.0014093303764184384,0.0014018619898235687,276.9285888671875,195.1256103515625,281.8029479980469,240.5318030280036,4.674009869429427e-06,0.007095675777661465
24,t03_loc00,2020-01-01T18:00:00.000000000,58.0,10.0,northern_sector_west,northern_sector_west_loc00,50.3,272.19559651065845,272.18875889919207,272.20233133484425,-0.006837611466380622,0.006734824185798516,0.3,0.02279203822126874,0.022449413952661722,278.96087646484375,195.11752319335938,282.2708740234375,240.70891055545292,4.638002672869161e-06,0.007777074184961086
24,t03_loc00,2020-01-01T18:00:00.000000000,58.0,10.0,northern_sector_west,northern_sector_west_loc00,52.8,261.22569509739753,261.2209679435202,261.2303601123675,-0.00472715387735434,0.004665014969987169,0.5,0.00945430775470868,0.009330029939974338,278.96087646484375,195.11752319335938,282.2708740234375,240.70891055545292,4.638002672869161e-06,0.007777074184961086
